Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,2,2,16,12,1,4,22,0
0,2,8,10,35,1,2,35,6
46,2,3,15,56,2,3,61,10
0,3,4,19,28,2,0,42,1
0,3,1,24,0,2,1,21,0
13,2,2,11,19,1,4,23,2
0,2,8,17,43,4,0,52,1
0,2,17,7,95,2,10,75,11
0,2,4,19,25,2,4,40,1
59,2,4,13,79,3,5,77,6
75,2,4,12,132,13,34,96,5
0,2,6,12,26,1,4,28,1
0,2,4,12,30,1,10,28,1
0,3,11,18,58,3,8,60,6
10,3,11,15,47,8,15,37,5
19,2,5,17,70,2,21,56,6
0,3,14,15,83,3,7,80,11
0,3,7,18,39,3,12,37,3
60,3,3,20,70,3,4,76,12
0,2,3,14,16,1,4,23,0
0,3,6,13,24,4,7,23,1
0,2,1,12,0,1,0,11,0
0,3,1,25,0,1,0,23,1
0,2,5,18,30,2,0,43,1
58,6,3,34,68,9,0,85,5
0,2,7,14,39,2,2,48,5
0,4,3,22,13,4,0,30,1
0,4,4,18,21,4,2,31,0
0,3,4,22,18,3,0,35,1
39,5,5,30,63,5,11,67,9
0,4,2,14,9,3,12,11,1
0,3,7,12,46,2,5,45,4
0,3,5,16,20,3,0,30,2
0,2,1,12,8,1,0,19,0
0,2,4,9,22,1,2,25,1
0,3,2,19,10,3,0,30,1
0,3,3,13,18,3,0,27,0
0,2,7,9,44,1,5,41,4
0,2,4,11,34,1,0,45,3
65,4,3,20,75,3,2,81,14
0,2,4,8,24,2,5,23,2
0,2,1,18,0,1,0,17,0
0,3,6,16,33,2,0,42,4
0,2,8,21,38,1,1,50,6
80,2,2,9,81,1,29,38,27
12,3,7,15,88,2,6,91,5
0,2,7,9,139,1,46,59,44
0,3,5,16,29,2,0,37,5
0,2,7,9,39,1,2,39,4
0,2,14,8,61,1,7,48,9
0,2,2,18,1,1,0,17,0
0,3,5,21,35,3,0,49,1
0,2,12,14,91,1,8,85,8
0,2,6,9,47,1,0,50,1
61,3,3,15,71,3,7,67,14
0,3,8,19,47,3,4,57,2
5,2,2,17,6,1,2,18,2
0,4,2,40,1,2,0,37,1
0,2,2,18,1,1,0,17,0
13,2,2,11,19,1,5,22,2
0,3,3,18,17,2,0,31,0
