max_depth,accuracy
1,0.3770271497321348
2,0.4939526014709889
3,0.5762734949605013
4,0.6244438390992463
5,0.6773086352492508
6,0.7203486788341051
7,0.7717969672205576
8,0.8127122491600837
9,0.8444383909924633
10,0.8736674838826841
