max_depth,accuracy
1,0.3762553346045582
2,0.4929447017161537
3,0.5732225551620811
4,0.6211386543176246
5,0.6767547443929901
6,0.720121674384818
7,0.7701534550077181
8,0.8108871333878144
9,0.8419595024062472
10,0.8710796331608099
