max_depth,accuracy
1,0.3790157087078907
2,0.48332879324434763
3,0.578797784436575
4,0.5943521293017342
5,0.6550258785072188
6,0.7012530645600654
7,0.7409152819395259
8,0.7746027422137474
9,0.806937255970217
10,0.8300372287296831
11,0.852873876327976
12,0.8662852991918643
13,0.8751566330700082
14,0.8798420049032959
15,0.8840915281939525
